instance,seed,algorithm,objective,coverage_pct,runtime_sec,num_facilities,budget_used,num_moves,num_iterations,facilities
random_I100_J500_B15.0_R6.5_s42,48,tabu_search,21099.0,83.19794952681387,24.37679100036621,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,49,tabu_search,21099.0,83.19794952681387,24.21115517616272,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,50,tabu_search,21099.0,83.19794952681387,25.420305252075195,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,51,tabu_search,21099.0,83.19794952681387,26.580881357192993,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B20.0_R6.5_s43,42,tabu_search,22549.0,88.62207200125766,35.600759983062744,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I100_J500_B20.0_R6.5_s43,43,tabu_search,22549.0,88.62207200125766,40.163703203201294,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I100_J500_B20.0_R6.5_s43,44,tabu_search,22549.0,88.62207200125766,39.80137825012207,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I100_J500_B20.0_R6.5_s43,45,tabu_search,22549.0,88.62207200125766,35.00813698768616,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I100_J500_B20.0_R6.5_s43,46,tabu_search,22549.0,88.62207200125766,36.37195658683777,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I100_J500_B20.0_R6.5_s43,47,tabu_search,22549.0,88.62207200125766,33.703041791915894,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I100_J500_B20.0_R6.5_s43,48,tabu_search,22549.0,88.62207200125766,35.96515440940857,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I100_J500_B20.0_R6.5_s43,49,tabu_search,22549.0,88.62207200125766,34.742095708847046,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I100_J500_B20.0_R6.5_s43,50,tabu_search,22549.0,88.62207200125766,33.97709274291992,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I100_J500_B20.0_R6.5_s43,51,tabu_search,22549.0,88.62207200125766,34.29950666427612,10,19.92,15000,15000,"0,9,27,53,60,74,81,87,90,91"
random_I200_J1000_B20.0_R5.5_s42,42,tabu_search,47783.0,96.2067368675378,92.90246033668518,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B20.0_R5.5_s42,43,tabu_search,47783.0,96.2067368675378,95.67438912391663,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B20.0_R5.5_s42,44,tabu_search,47783.0,96.2067368675378,92.12026596069336,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B20.0_R5.5_s42,45,tabu_search,47783.0,96.2067368675378,99.0278377532959,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B20.0_R5.5_s42,46,tabu_search,47783.0,96.2067368675378,95.99766421318054,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B20.0_R5.5_s42,47,tabu_search,47783.0,96.2067368675378,84.64804220199585,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B20.0_R5.5_s42,48,tabu_search,47783.0,96.2067368675378,93.94458413124084,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B20.0_R5.5_s42,49,tabu_search,47783.0,96.2067368675378,89.85689949989319,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B20.0_R5.5_s42,50,tabu_search,47783.0,96.2067368675378,89.37991046905518,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B20.0_R5.5_s42,51,tabu_search,47783.0,96.2067368675378,88.5320303440094,14,19.97,15000,15000,"10,22,32,42,96,110,115,117,135,152,158,171,185,199"
random_I200_J1000_B30.0_R5.0_s43,42,tabu_search,45065.0,91.92061355199283,108.18725419044495,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I200_J1000_B30.0_R5.0_s43,43,tabu_search,45065.0,91.92061355199283,98.78980588912964,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I200_J1000_B30.0_R5.0_s43,44,tabu_search,45065.0,91.92061355199283,94.41819024085999,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I200_J1000_B30.0_R5.0_s43,45,tabu_search,45065.0,91.92061355199283,96.46197485923767,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I200_J1000_B30.0_R5.0_s43,46,tabu_search,45065.0,91.92061355199283,100.1462185382843,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I200_J1000_B30.0_R5.0_s43,47,tabu_search,45065.0,91.92061355199283,96.02869272232056,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I200_J1000_B30.0_R5.0_s43,48,tabu_search,45065.0,91.92061355199283,98.39734053611755,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I200_J1000_B30.0_R5.0_s43,49,tabu_search,45065.0,91.92061355199283,98.59189629554749,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I200_J1000_B30.0_R5.0_s43,50,tabu_search,45065.0,91.92061355199283,99.85475492477417,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I200_J1000_B30.0_R5.0_s43,51,tabu_search,45065.0,91.92061355199283,94.2618715763092,16,29.86,15000,15000,"2,27,28,53,63,81,82,91,99,110,122,145,159,161,178,180"
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,24.198976039886475,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,43,tabu_search,21099.0,83.19794952681387,25.04368305206299,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,44,tabu_search,21099.0,83.19794952681387,25.360268592834473,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,42,tabu_search,21099.0,83.19794952681387,22.982413053512573,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,43,tabu_search,21099.0,83.19794952681387,24.261019468307495,7,14.88,15000,15000,"4,10,22,41,42,54,96"
random_I100_J500_B15.0_R6.5_s42,44,tabu_search,21099.0,83.19794952681387,23.99024772644043,7,14.88,15000,15000,"4,10,22,41,42,54,96"
